entityName,metric.type,metric.count,metric.amount,year,quarter,state
anantapur,TOTAL,3578836,7830782361.3776655,2019,2,andhra-pradesh
spsr nellore,TOTAL,3141891,6880873007.4820595,2019,2,andhra-pradesh
prakasam,TOTAL,2670529,6262396448.455348,2019,2,andhra-pradesh
ysr,TOTAL,2606284,6376856828.130632,2019,2,andhra-pradesh
530001,TOTAL,2602865,5218795715.70141,2019,2,andhra-pradesh
520001,TOTAL,1828617,3823390190.0922346,2019,2,andhra-pradesh
517501,TOTAL,949187,1669949938.5076957,2019,2,andhra-pradesh
522001,TOTAL,839909,1759418775.980979,2019,2,andhra-pradesh
530016,TOTAL,793798,1257915825.5688605,2019,2,andhra-pradesh
517507,TOTAL,760335,1412863012.2407691,2019,2,andhra-pradesh
515001,TOTAL,567306,1282118916.2094193,2019,2,andhra-pradesh
530003,TOTAL,520142,718170914.395836,2019,2,andhra-pradesh
520010,TOTAL,490697,973983824.5472903,2019,2,andhra-pradesh
530017,TOTAL,480905,650710126.3382195,2019,2,andhra-pradesh
visakhapatnam,TOTAL,16694947,26944837120.046288,2019,3,andhra-pradesh
krishna,TOTAL,8408474,16404073560.500784,2019,3,andhra-pradesh
chittoor,TOTAL,8201783,13837455758.755266,2019,3,andhra-pradesh
guntur,TOTAL,6942304,13075661264.188034,2019,3,andhra-pradesh
east godavari,TOTAL,6537303,11387726470.57774,2019,3,andhra-pradesh
kurnool,TOTAL,5139134,9025632779.412457,2019,3,andhra-pradesh
anantapur,TOTAL,4889720,9554081289.488277,2019,3,andhra-pradesh
spsr nellore,TOTAL,4150195,8256600118.735449,2019,3,andhra-pradesh
prakasam,TOTAL,3430750,7354502261.150911,2019,3,andhra-pradesh
ysr,TOTAL,3296586,7447544274.2117815,2019,3,andhra-pradesh
530001,TOTAL,2944756,6693257653.901131,2019,3,andhra-pradesh
520001,TOTAL,1905190,4414503365.699517,2019,3,andhra-pradesh
517501,TOTAL,1434209,2203932856.2972074,2019,3,andhra-pradesh
530016,TOTAL,1196020,1658162548.562835,2019,3,andhra-pradesh
517507,TOTAL,1060513,1854927351.7366562,2019,3,andhra-pradesh
522001,TOTAL,1003916,2216532548.7258,2019,3,andhra-pradesh
515001,TOTAL,868052,1667826831.8650486,2019,3,andhra-pradesh
530003,TOTAL,858005,970993081.1712441,2019,3,andhra-pradesh
530017,TOTAL,799271,911939243.0618924,2019,3,andhra-pradesh
530026,TOTAL,711726,1095056835.9858122,2019,3,andhra-pradesh
visakhapatnam,TOTAL,23594874,39133296330.04462,2019,4,andhra-pradesh
krishna,TOTAL,11719402,23039786404.046635,2019,4,andhra-pradesh
chittoor,TOTAL,11246986,19298476027.875484,2019,4,andhra-pradesh
guntur,TOTAL,9761330,18565626418.035915,2019,4,andhra-pradesh
east godavari,TOTAL,9285739,16816774065.301317,2019,4,andhra-pradesh
kurnool,TOTAL,7001958,13233105728.54823,2019,4,andhra-pradesh
anantapur,TOTAL,6764112,13887248889.064064,2019,4,andhra-pradesh
spsr nellore,TOTAL,5877804,11786014089.194025,2019,4,andhra-pradesh
prakasam,TOTAL,4865473,10604077824.801035,2019,4,andhra-pradesh
ysr,TOTAL,4793157,10865073855.730782,2019,4,andhra-pradesh
530001,TOTAL,4185063,9160387223.4497,2019,4,andhra-pradesh
520001,TOTAL,2544877,5933007156.535349,2019,4,andhra-pradesh
517501,TOTAL,1920211,3073084029.9256625,2019,4,andhra-pradesh
